Place_Id,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Coordinate,Lat,Long,City_1,Harga,Weather,Worthit;
"1,Monumen Nasional,""Monumen Nasional atau yang populer disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia untuk merebut kemerdekaan dari pemerintahan kolonial Hindia Belanda. Pembangunan monumen ini dimulai pada tanggal 17 Agustus 1961 di bawah perintah presiden Soekarno dan dibuka untuk umum pada tanggal 12 Juli 1975. Tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. Monumen Nasional terletak tepat di tengah Lapangan Medan Merdeka, Jakarta Pusat."",Budaya,Jakarta,20000,46,15,""{'lat': -6.1753924, 'lng': 106.8271528}"",-61753924,1068271528,Jakarta Pusat,0,Sunny,0";
"2,Kota Tua,""Kota tua di Jakarta, yang juga bernama Kota Tua, berpusat di Alun-Alun Fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. Museum Sejarah Jakarta adalah bangunan era Belanda dengan lukisan dan barang antik, sedangkan Museum Wayang memamerkan boneka kayu khas Jawa. Desa Glodok, atau Chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. Di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan Sunda Kelapa yang kuno"",Budaya,Jakarta,0,46,90,""{'lat': -6.137644799999999, 'lng': 106.8171245}"",-61376448,1068171245,Jakarta Barat,0,Sunny,0";
"3,Dunia Fantasi,""Dunia Fantasi atau disebut juga Dufan adalah tempat hiburan yang terletak di kawasan Taman Impian Jaya Ancol, Jakarta Utara, Indonesia. Dufan diresmikan dan dibuka pada tanggal 29 Agustus 1985."",Taman Hiburan,Jakarta,270000,46,360,""{'lat': -6.125312399999999, 'lng': 106.8335377}"",-61253124,1068335377,Jakarta Utara,1,Sunny,0";
"4,Taman Mini Indonesia Indah (TMII),""Taman Mini Indonesia Indah merupakan suatu kawasan taman wisata bertema budaya Indonesia di Jakarta Timur. Area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6°18′6.8″LS,106°53′47.2″BT"",Taman Hiburan,Jakarta,10000,45,,""{'lat': -6.302445899999999, 'lng': 106.8951559}"",-63024459,1068951559,Jakarta Timur,0,Sunny,0";
"5,Atlantis Water Adventure,""Atlantis Water Adventure atau dikenal dengan Atlantis Ancol akan menyuguhkan petualangan wisata air tak terlupakan. Tempat Wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. Yaitu kolam Antila, Plaza Atlas, Poseidon, Aquarius, Octopus, Kiddy Pool, dan Atlantean. Berlokasi di kawasan Ancol Jakarta Baycity, Atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang."",Taman Hiburan,Jakarta,94000,45,60,""{'lat': -6.12419, 'lng': 106.839134}"",-612419,106839134,Jakarta Utara,1,Sunny,0";
"6,Taman Impian Jaya Ancol,Taman Impian Jaya Ancol merupakan sebuah objek wisata di Jakarta Utara.\n\n,Taman Hiburan,Jakarta,25000,45,10,""{'lat': -6.117333200000001, 'lng': 106.8579951}"",-61173332,1068579951,Jakarta Utara,0,Sunny,0";
"7,Kebun Binatang Ragunan,""Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan, Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. Di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen.\nRagunan sempat ditutup selama sekitar tiga minggu sejak 19 September 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 Oktober 2005.Kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah"",Cagar Alam,Jakarta,4000,45,,""{'lat': -6.3124593, 'lng': 106.8201865}"",-63124593,1068201865,Jakarta Selatan,0,Sunny,0";
"8,Ocean Ecopark,""Ocean Ecopark Salah satu zona rekreasi Ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. Beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya : Outbondholic, Rumah Energy, Rumah Lebah, Kano, Paintball, Outbondholic, Eco-Market, Learning Farm, Eco-Bike, Faunaland. Kalau berencana berwisata ke Ocean Eco Park ancol tidak perlu khawatir dengan harga tiket masuknya. Karena harga tiket masuk Ocean Eco Park ditawarkan dengan harga yang masih terjangkau."",Taman Hiburan,Jakarta,180000,4,,{'lat': -6.125801699999999, 'lng': 106.8363249}"",-61258017,1068363249,Jakarta Utara,1,Sunny,1";
"9,Pelabuhan Marina,""Pelabuhan Marina Ancol berada di kawasan Taman Impian Jaya Ancol, Jakarta. Pelabuhan yang biasa disebut Dermaga Marina Ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja, tetapi juga dikembangkan untuk banyak hal, seperti wisata air, olahraga air maupun wahana bermain. Fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan Seribu, begitu juga sebaliknya. Banyak orang yang berada di Jakarta dan sekitarnya, menjadikan kepulaun Seribu sebagai tujuan wisata yang utama. Liburan di Pulau Seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan, sembari menikmati keindahan pantai yang masih terjaga dengan baik. Marina Ancol berada di Jakarta Utara atau secara lengkap beralamat di Kota Tua, Ancol, Pademangan, Kota Jakarta. Sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota. Selain itu, ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online."",Bahari,Jakarta,175000,44,,""{'lat': 1.07888, 'lng': 103.931398}"",107888,103931398,Jakarta Utara,1,Sunny,0";
"10,Pulau Tidung,""Pulau Tidung adalah salah satu kelurahan di kecamatan Kepulauan Seribu Selatan, Kabupaten Kepulauan Seribu, Jakarta, Indonesia."",Bahari,Jakarta,150000,45,,""{'lat': -5.803205300000001, 'lng': 106.5237907}"",-58032053,1065237907,Kepulauan Seribu,1,Sunny,0";
